month,year,count,month_year
1,2022,97,Jan-22
1,2023,208,Jan-23
2,2022,110,Feb-22
2,2023,220,Feb-23
3,2022,106,Mar-22
3,2023,216,Mar-23
4,2022,90,Apr-22
4,2023,188,Apr-23
5,2022,119,May-22
5,2023,244,May-23
6,2022,117,Jun-22
6,2023,257,Jun-23
7,2022,100,Jul-22
7,2023,297,Jul-23
8,2022,121,Aug-22
8,2023,407,Aug-23
9,2022,149,Sep-22
9,2023,337,Sep-23
10,2022,121,Oct-22
10,2023,330,Oct-23
11,2022,166,Nov-22
12,2022,206,Dec-22
